iter	Logloss
467	0.3131197889
468	0.3131064544
469	0.3130851461
470	0.3130694354
471	0.3130642891
472	0.3130642885
473	0.3130538196
474	0.3130297601
475	0.3130082597
476	0.3129888011
477	0.3129888005
478	0.3129816609
479	0.3129636728
480	0.3129504061
481	0.3129470671
482	0.3129366819
483	0.3129272271
484	0.3129046535
485	0.3128902621
486	0.3128819414
487	0.3128669031
488	0.3128544052
489	0.312837418
490	0.3128312993
491	0.3128131801
492	0.3127966331
493	0.3127752778
494	0.3127599766
495	0.312759976
496	0.312742498
497	0.3127203505
498	0.3127079488
499	0.3126895246
500	0.3126711297
501	0.3126548168
502	0.3126407442
503	0.3126323572
504	0.3126313035
505	0.3126173627
506	0.3125995415
507	0.3125845166
508	0.3125641405
509	0.3125447253
510	0.3125258623
511	0.3125045429
512	0.312498672
513	0.3124820072
514	0.3124624686
515	0.3124458392
516	0.3124272689
517	0.3124244316
518	0.3124077418
519	0.3123943952
520	0.3123943945
521	0.3123943941
522	0.3123785389
523	0.3123698197
524	0.3123542587
525	0.3123349978
526	0.3123349977
527	0.3123302488
528	0.3123302487
529	0.3123089805
530	0.3122901015
531	0.3122829057
532	0.312265602
533	0.3122623379
534	0.3122441102
535	0.31224116
536	0.3122216777
537	0.3122077308
538	0.3121904522
539	0.3121762435
540	0.3121667134
541	0.312146738
542	0.3121249868
543	0.3121060949
544	0.3120906772
545	0.312072263
546	0.3120570719
547	0.3120391633
548	0.3120391626
549	0.3120240451
550	0.312022986
551	0.3120045092
552	0.3119942161
553	0.3119785912
554	0.3119630432
555	0.311953998
556	0.3119346084
557	0.3119199168
558	0.3119011856
559	0.3118919595
560	0.3118814014
561	0.3118642505
562	0.3118526544
563	0.3118391472
564	0.3118205543
565	0.3118062545
566	0.3118051697
567	0.3117928415
568	0.3117779678
569	0.3117640416
570	0.3117514818
571	0.3117330464
572	0.3117327817
573	0.3117182819
574	0.3116996303
575	0.3116842803
576	0.3116687249
577	0.3116596982
578	0.3116441871
579	0.3116310529
580	0.3116310529
581	0.3116142884
582	0.3116125679
583	0.3116045168
584	0.3115873723
585	0.3115696185
586	0.3115682984
587	0.3115517805
588	0.3115348203
589	0.3115126528
590	0.311501931
591	0.3114955649
592	0.3114839583
593	0.3114675534
594	0.3114521272
595	0.3114365362
596	0.3114225543
597	0.3114065537
598	0.3113948142
599	0.3113760063
600	0.3113754625
601	0.311354456
602	0.3113413658
603	0.3113251076
604	0.3113109122
605	0.3112956499
606	0.3112842921
607	0.311264068
608	0.3112520518
609	0.3112319817
610	0.3112206517
611	0.3112001136
612	0.3111833777
613	0.3111718248
614	0.3111559815
615	0.3111425063
616	0.311124563
617	0.3111216671
618	0.3111078116
619	0.3110985695
620	0.3110878293
621	0.3110712418
622	0.3110710516
623	0.3110529175
624	0.311052917
625	0.3110399479
626	0.3110225982
627	0.3110056529
628	0.3110050538
629	0.3109942989
630	0.3109809552
631	0.3109739966
632	0.3109565887
633	0.310948487
634	0.3109333042
635	0.3109175709
636	0.3109018784
637	0.3108853019
638	0.3108728401
639	0.3108634629
640	0.3108471367
641	0.3108334643
642	0.3108173045
643	0.3108059421
644	0.3107969264
645	0.3107837453
646	0.3107712547
647	0.3107697747
648	0.310754996
649	0.3107415762
650	0.3107244532
651	0.310715271
652	0.3107131809
653	0.3106979046
654	0.3106881392
655	0.310687809
656	0.3106875834
657	0.3106753009
658	0.3106705162
659	0.3106571864
660	0.3106445841
661	0.3106301328
662	0.3106163838
663	0.3106094941
664	0.3105958498
665	0.3105768612
666	0.3105754698
667	0.3105596579
668	0.3105477115
669	0.3105368057
670	0.3105208171
671	0.3105106558
672	0.3104948612
673	0.3104866353
674	0.3104660182
675	0.3104500099
676	0.310440326
677	0.3104269304
678	0.310415534
679	0.3104058322
680	0.3103859892
681	0.3103690363
682	0.3103681444
683	0.3103648116
684	0.3103623177
685	0.3103511114
686	0.3103362536
687	0.3103225231
688	0.3103027139
689	0.310285729
690	0.3102734102
691	0.3102590671
692	0.3102449191
693	0.3102322426
694	0.3102233298
695	0.3102089258
696	0.3101964381
697	0.3101832793
698	0.3101745543
699	0.3101648784
700	0.3101634609
701	0.3101474879
702	0.3101300327
703	0.3101137851
704	0.3100981324
705	0.3100910958
706	0.3100821332
707	0.3100686768
708	0.3100509505
709	0.3100361635
710	0.3100185512
711	0.3100185508
712	0.3100105698
713	0.3099981288
714	0.3099777572
715	0.3099650932
716	0.3099436531
717	0.3099328528
718	0.3099165367
719	0.3099010351
720	0.309901035
721	0.3098891093
722	0.3098751987
723	0.309861033
724	0.3098438416
725	0.3098304822
726	0.3098151494
727	0.3098049778
728	0.3098041683
729	0.3097929119
730	0.3097858033
731	0.3097701195
732	0.30976002
733	0.3097394483
734	0.3097273525
735	0.3097207833
736	0.3097061214
737	0.3096875442
738	0.3096728979
739	0.3096630455
740	0.3096443266
741	0.3096285706
742	0.3096174231
743	0.3096019348
744	0.3095879248
745	0.3095750545
746	0.3095592867
747	0.3095496966
748	0.3095320267
749	0.3095194403
750	0.3095034684
751	0.3094894765
752	0.3094766106
753	0.3094764065
754	0.309476406
755	0.3094631988
756	0.3094501157
757	0.3094368239
758	0.3094244676
759	0.3094086848
760	0.3094005912
761	0.3093858751
762	0.3093688935
763	0.3093583413
764	0.3093432003
765	0.3093305097
766	0.3093128648
767	0.3093054679
768	0.3092876671
769	0.3092741072
770	0.3092664118
771	0.3092610965
772	0.3092483534
773	0.3092354634
774	0.3092286423
775	0.3092073385
776	0.3091902326
777	0.3091897421
778	0.3091764334
779	0.3091649676
780	0.3091535625
781	0.3091395735
782	0.3091325036
783	0.3091138467
784	0.3091029712
785	0.3091021722
786	0.3090906341
787	0.3090736593
788	0.3090592099
789	0.3090566887
790	0.3090543617
791	0.3090421336
792	0.3090315563
793	0.3090315562
794	0.3090146081
795	0.308993893
796	0.3089763272
797	0.3089651411
798	0.3089651407
799	0.3089517069
800	0.3089387137
801	0.3089306139
802	0.3089177027
803	0.3089050448
804	0.3088910406
805	0.3088744938
806	0.3088680217
807	0.3088454607
808	0.3088387278
809	0.3088237237
810	0.3088064988
811	0.3087952588
812	0.3087845196
813	0.3087725154
814	0.308771643
815	0.3087577697
816	0.3087463403
817	0.3087395702
818	0.308721899
819	0.3087118829
820	0.3087027131
821	0.3086851872
822	0.3086713381
823	0.3086705565
824	0.3086632795
825	0.308647485
826	0.3086308678
827	0.3086191278
828	0.308602887
829	0.3085951697
830	0.3085949159
831	0.308594127
832	0.3085796141
833	0.3085712216
834	0.3085607608
835	0.3085466774
836	0.3085356772
837	0.3085269303
838	0.3085145359
839	0.308509406
840	0.3084957024
841	0.3084892168
842	0.3084830266
843	0.3084821912
844	0.3084684092
845	0.3084558964
846	0.3084448794
847	0.308430498
848	0.3084210976
849	0.3084144709
850	0.3083975564
851	0.3083824776
852	0.3083675003
853	0.3083507731
854	0.3083500654
855	0.3083412776
856	0.3083341549
857	0.3083266297
858	0.3083143866
859	0.308297553
860	0.3082794171
861	0.3082689615
862	0.3082546724
863	0.3082405747
864	0.3082280689
865	0.3082227323
866	0.3082063105
867	0.3081962945
868	0.3081830533
869	0.3081696125
870	0.3081534068
871	0.3081373791
872	0.3081172959
873	0.3081010798
874	0.3080924195
875	0.3080849729
876	0.3080801286
877	0.3080794877
878	0.3080618536
879	0.3080529189
880	0.308045724
881	0.3080353558
882	0.3080338523
883	0.308026986
884	0.3080226709
885	0.3080122009
886	0.3080117113
887	0.3080111121
888	0.3080008786
889	0.3079899069
890	0.3079788667
891	0.3079704701
892	0.3079614091
893	0.3079421474
894	0.3079236396
895	0.3079120038
896	0.3079050007
897	0.3078916506
898	0.3078790913
899	0.3078664632
900	0.3078658988
901	0.3078506843
902	0.3078340615
903	0.3078203246
904	0.3078111296
905	0.3078001285
906	0.3077871365
907	0.3077779973
908	0.3077724576
909	0.3077683665
910	0.307757347
911	0.307747347
912	0.3077353989
913	0.3077191884
914	0.307703976
915	0.3077038215
916	0.3076981662
917	0.3076840541
918	0.3076704344
919	0.3076590836
920	0.3076410443
921	0.3076346772
922	0.3076294605
923	0.307619166
924	0.3076070123
925	0.3075894433
926	0.3075871682
927	0.3075764853
928	0.3075602296
929	0.3075451336
930	0.3075349981
931	0.3075259128
932	0.307509859
933	0.3074955635
934	0.3074821027
935	0.3074814353
936	0.3074717647
937	0.3074708042
938	0.3074611576
939	0.30744901
940	0.3074345788
941	0.3074340986
942	0.307421337
943	0.3074083249
944	0.3073966191
945	0.3073961209
946	0.3073886864
947	0.3073762898
948	0.3073721168
949	0.3073672349
950	0.3073493343
951	0.3073336455
952	0.3073160351
953	0.307310351
954	0.3072916812
955	0.3072811273
956	0.3072703234
957	0.307258576
958	0.3072534189
959	0.3072433198
960	0.307226491
961	0.3072177466
962	0.3072085459
963	0.3072005226
964	0.3071900856
965	0.3071755991
966	0.3071635162
967	0.3071480095
968	0.307141265
969	0.3071317105
970	0.3071226588
971	0.3071126546
972	0.3071124205
973	0.3070964954
974	0.3070835493
975	0.3070764835
976	0.3070700159
977	0.3070643276
978	0.3070582442
979	0.3070427302
980	0.3070368327
981	0.3070364038
982	0.3070262573
983	0.3070132918
984	0.3070014877
985	0.3069903913
986	0.3069821898
987	0.3069726074
988	0.3069615846
989	0.3069490532
990	0.3069487851
991	0.3069397869
992	0.306926378
993	0.3069200527
994	0.3069121293
995	0.3068978771
996	0.3068851849
997	0.3068755703
998	0.3068639016
999	0.3068523037
